rank,reward,genes
39,4.109884513884962,AC044784.1;ANGPTL7;CA3;CAMP;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TCN1
40,4.09477544100816,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;IL20;INAVA;LINC02587;PCOLCE2;PLAC1;PLIN4;SAA1;SLC4A4
41,4.087139643798965,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HS3ST4;IL20;INAVA;LINC02587;PCOLCE2;PLIN4;SLC4A4;TACR1
42,4.064300278887812,AC044784.1;ADCY8;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;MYT1;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
43,4.049461602057652,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;IL20;INAVA;LINC02587;PCOLCE2;PLIN4;SLC4A4;SOX10
44,4.037902070539086,AC044784.1;AFP;ANGPTL7;CA3;CSMD1;DNER;ECRG4;GLYAT;HPSE2;INAVA;LINC02587;PCOLCE2;PLIN4;SLC4A4;TACR1
45,4.0330756523990585,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;IL20;INAVA;LINC02587;PCOLCE2;PLAC1;PLIN4;SLC4A4
46,4.029954938602705,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;IL20;INAVA;LINC02587;PCOLCE2;PLAC1;PLIN4;SLC4A4;TACR1
47,4.002062165022239,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;INAVA;LINC02587;PCOLCE2;PLIN4;SLC4A4;TACR1;TCN1
48,3.997679795686351,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;IL20;INAVA;LINC02587;PCOLCE2;PLIN4;SLC4A4;TACR1
49,3.993542925726566,AC044784.1;ANGPTL7;CA3;CCDC60;DNER;ECRG4;GLYAT;IL20;INAVA;LINC02587;PCK1;PCOLCE2;PLAC1;PLIN4;SLC4A4
50,3.9832787795292006,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;IL20;INAVA;LINC02587;PCOLCE2;PLAC1;PLIN4;SLC4A4;TSPAN8
